title,description,url
Новому главе минпромторга поставили задачу возродить ХСЗ,Министерство промышленности и торговли Хабаровского края возглавил Тимур Саматов.,https://www.dvnovosti.ru/khab/2025/10/27/186880/
Старожил правительства Хабаровского края уволился и уехал в Москву - источник,Многолетнего руководителя лишился комитет по внутренней политике.,https://www.dvnovosti.ru/khab/2025/10/21/186665/
Новости к завтраку: Фургалу запросили 25 лет по совокупности,Российский паспорт опустился в рейтинге привлекательных. Путин подписал много новых указов.,https://www.dvnovosti.ru/khab/2025/10/16/186476/
Прокурор попросит наказание для экс-губернатора Фургала завтра,"Прения сторон по уголовному делу назначены в Бабушкинском суде. Согласно позиции прокуратуры, Фургал руководил организованной группой, похищавшей деньги посредством выдачи кредитов МСП-банка.",https://www.dvnovosti.ru/khab/2025/10/14/186379/
Суд приговорил экс-чиновника хабаровского минстроя к 10 годам колонии за хищение,Экс-чиновник приговорен к 10 годам колонии за хищение более 52 млн руб.,https://www.dvnovosti.ru/khab/2025/10/12/186324/
Новости к завтраку: суд обязал Фургала компенсировать моральный вред,В Госдуме предложили ограничить число кошек и собак в квартире. Путин подвел итоги поездки в Душанбе.,https://www.dvnovosti.ru/khab/2025/10/11/186298/
Квартиру Фургала во Владивостоке продают за 20 миллионов,Арестованную недвижимость выставило на торги Росимущество.,https://www.dvnovosti.ru/khab/2025/10/08/186183/
Новости к завтраку: Фургалу отказали в иске против ведущего «Соловьев Live»,Умер теле- и радиоведущий Тигран Кеосаян. В Якутии запустят систему ребейтов.,https://www.dvnovosti.ru/khab/2025/09/27/185768/
Компании экс-губернатора Фургала выводили деньги для его личных нужд,Делалось это под предлогом покупки несуществующего металлолома.,https://www.dvnovosti.ru/khab/2025/09/14/185257/
Сергей Фургал потерял свои арестованные автомобили,"Бывший губернатор Хабаровского края Сергей Фургал заявил об исчезновении своих автомобилей Toyota Land Cruiser и Lexus LX 570, которые были переданы на ответственное хранение в рамках уголовного дела. Защита экс-губернатора сообщила, что не располагает сведениями о текущем местоположении машин.",https://www.dvnovosti.ru/khab/2025/09/04/184900/
Новому главе минпромторга поставили задачу возродить ХСЗ,Министерство промышленности и торговли Хабаровского края возглавил Тимур Саматов.,https://www.dvnovosti.ru/khab/2025/10/27/186880/
Старожил правительства Хабаровского края уволился и уехал в Москву - источник,Многолетнего руководителя лишился комитет по внутренней политике.,https://www.dvnovosti.ru/khab/2025/10/21/186665/
Новости к завтраку: Фургалу запросили 25 лет по совокупности,Российский паспорт опустился в рейтинге привлекательных. Путин подписал много новых указов.,https://www.dvnovosti.ru/khab/2025/10/16/186476/
